model,biofix_rule,evaluation,all_n_events,all_mean_abs_stage_distance,all_exact_major_accuracy,all_display_major_accuracy,all_transition_display_rate,all_adjacent_major_accuracy,all_severe_error_rate,core_no90_n_events,core_no90_mean_abs_stage_distance,core_no90_exact_major_accuracy,core_no90_display_major_accuracy,core_no90_transition_display_rate,core_no90_adjacent_major_accuracy,core_no90_severe_error_rate
cultivar_major_thresholds_offset,tmean_ge_10_run_7d,3fold_after_one_user_feedback,145,0.4689655172413793,0.593103448275862,0.7517241379310344,0.5310344827586206,0.9448275862068966,0.05517241379310345,144,0.4652777777777778,0.5972222222222222,0.7569444444444444,0.5347222222222222,0.9444444444444444,0.05555555555555555
cultivar_major_thresholds,tmean_ge_12_run_7d,3fold_after_one_user_feedback,145,0.4689655172413793,0.593103448275862,0.7517241379310344,0.5172413793103449,0.9448275862068966,0.05517241379310345,144,0.4652777777777778,0.5972222222222222,0.7569444444444444,0.5208333333333334,0.9444444444444444,0.05555555555555555
cultivar_major_thresholds_offset,tmean_ge_12_run_7d,3fold_after_one_user_feedback,145,0.4689655172413793,0.593103448275862,0.7517241379310344,0.5172413793103449,0.9448275862068966,0.05517241379310345,144,0.4652777777777778,0.5972222222222222,0.7569444444444444,0.5208333333333334,0.9444444444444444,0.05555555555555555
cultivar_major_thresholds,jan1,3fold_after_one_user_feedback,145,0.4689655172413793,0.593103448275862,0.7448275862068966,0.5310344827586206,0.9448275862068966,0.05517241379310345,144,0.4652777777777778,0.5972222222222222,0.75,0.5347222222222222,0.9444444444444444,0.05555555555555555
cultivar_major_thresholds_offset,jan1,3fold_after_one_user_feedback,145,0.4689655172413793,0.593103448275862,0.7448275862068966,0.5310344827586206,0.9448275862068966,0.05517241379310345,144,0.4652777777777778,0.5972222222222222,0.75,0.5347222222222222,0.9444444444444444,0.05555555555555555
cultivar_major_thresholds,tmean_ge_8_run_3d,3fold_after_one_user_feedback,145,0.4689655172413793,0.593103448275862,0.7448275862068966,0.5310344827586206,0.9448275862068966,0.05517241379310345,144,0.4652777777777778,0.5972222222222222,0.75,0.5347222222222222,0.9444444444444444,0.05555555555555555
cultivar_major_thresholds_offset,tmean_ge_8_run_3d,3fold_after_one_user_feedback,145,0.4689655172413793,0.593103448275862,0.7448275862068966,0.5310344827586206,0.9448275862068966,0.05517241379310345,144,0.4652777777777778,0.5972222222222222,0.75,0.5347222222222222,0.9444444444444444,0.05555555555555555
cultivar_major_thresholds,tmean_ge_10_run_3d,3fold_after_one_user_feedback,145,0.4689655172413793,0.593103448275862,0.7448275862068966,0.5310344827586206,0.9448275862068966,0.05517241379310345,144,0.4652777777777778,0.5972222222222222,0.75,0.5347222222222222,0.9444444444444444,0.05555555555555555
cultivar_major_thresholds_offset,tmean_ge_10_run_3d,3fold_after_one_user_feedback,145,0.4689655172413793,0.593103448275862,0.7448275862068966,0.5310344827586206,0.9448275862068966,0.05517241379310345,144,0.4652777777777778,0.5972222222222222,0.75,0.5347222222222222,0.9444444444444444,0.05555555555555555
cultivar_major_thresholds,tmean_ge_12_run_3d,3fold_after_one_user_feedback,145,0.4689655172413793,0.593103448275862,0.7448275862068966,0.5310344827586206,0.9448275862068966,0.05517241379310345,144,0.4652777777777778,0.5972222222222222,0.75,0.5347222222222222,0.9444444444444444,0.05555555555555555
cultivar_major_thresholds_offset,tmean_ge_12_run_3d,3fold_after_one_user_feedback,145,0.4689655172413793,0.593103448275862,0.7448275862068966,0.5310344827586206,0.9448275862068966,0.05517241379310345,144,0.4652777777777778,0.5972222222222222,0.75,0.5347222222222222,0.9444444444444444,0.05555555555555555
cultivar_major_thresholds,tmean_ge_8_run_5d,3fold_after_one_user_feedback,145,0.47586206896551725,0.593103448275862,0.7448275862068966,0.5379310344827586,0.9448275862068966,0.05517241379310345,144,0.4722222222222222,0.5972222222222222,0.75,0.5416666666666666,0.9444444444444444,0.05555555555555555
cultivar_major_thresholds_offset,tmean_ge_8_run_5d,3fold_after_one_user_feedback,145,0.47586206896551725,0.593103448275862,0.7448275862068966,0.5379310344827586,0.9448275862068966,0.05517241379310345,144,0.4722222222222222,0.5972222222222222,0.75,0.5416666666666666,0.9444444444444444,0.05555555555555555
